nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
901.9798033621017,127.39757016315369,919.1672095097592,112.77087190493393,885.457472486432,112.76441430898849,945.992477845392,116.33620385651078,857.9976917847205,121.60615499649164,994.728461978917,208.40400426110895,810.893911495097,199.20705481486405,1010.8066946551614,252.94590175760007,790.9387281907597,245.38037374076276,950.340193165526,220.3240487560971,866.3921134394312,213.16236421315432,954.0943320730596,502.8486830945644,839.0659269055021,505.00586590032304,970.3020430307524,731.7612715893165,817.9266424032146,738.8587724964556,973.8273711970897,928.8240185925362,811.5683138629628,927.5988456978047
902.1700227104376,127.65501491178776,919.5446300952802,113.06846720200116,885.6753436881843,112.9560764147317,946.0455895665305,116.35778042236466,858.0984226323292,121.61608591115987,994.7796621283622,208.39270756946468,810.7281724309673,199.3807413476717,1010.7646500835542,253.89278339439343,791.5813627083592,245.98282509411794,950.4929990403718,221.66459265674942,866.7535702500977,213.26376218766478,955.4824465780631,503.3222302624991,839.1363433253641,505.54280268988657,972.5717709783459,731.075610274516,817.372512806314,738.2525883528617,974.0444381950815,928.7684862102861,811.8763096445318,928.5022231863752
902.1375327755644,129.11521303963846,919.6031726260364,114.33358444356394,885.5443109748566,114.32812565983154,946.1876491018805,116.39983138738299,858.0231932367469,121.71166695363809,995.263116761517,208.14415015294136,810.7796225528324,199.7239510206703,1010.3645684650793,254.4303736387762,792.3832147991728,246.12008501408565,948.9039311935148,223.7200480133151,866.5296101213178,214.02431355254788,955.9864858609942,503.3763048646877,839.0956252164962,505.5984628839317,973.8781413414379,730.5635071496544,817.0647382788376,738.0197120043728,974.2595632618938,929.6781172072484,811.3751204584739,928.9913346987491
902.116677589026,129.9157988349015,919.7908139142512,114.68081532185104,885.4824550415307,115.10045470577265,946.3023314689704,116.50479570113572,858.2246076235715,121.92161498628079,995.2885811331123,207.89477095607845,810.3244077639629,199.83325394554217,1010.3465514223439,257.66182251311443,790.5466207434254,246.26294233420498,943.815638464752,223.4163914864348,867.5996085490173,216.11635776192142,956.2964402033426,504.4542313130926,839.2303406577353,506.3939355374257,974.2455288811418,729.1825546760334,816.7717478123483,736.1044004718523,974.5424288461784,929.4695513409989,811.3914764993402,929.2705502871693
902.2160815422761,130.30639333022052,920.1238148904165,114.95389623664431,885.5403750060333,115.5688807959648,946.466830485039,116.58433911975004,858.2301288001624,122.21952346465416,995.3697979240923,207.91837146347396,809.8604290939354,200.0234546821118,1010.367320992459,257.27063848525177,790.1999876488304,246.1102649330202,942.3313700615796,223.2013480304633,868.9647576645443,216.72061612854668,956.7890831310966,505.81722999955264,839.349517196377,507.57414246588763,974.4672571299261,729.9487860502402,816.2741875578414,736.2902919977935,974.6825963535331,929.7683808911927,810.9577451964873,929.4733978886336
902.4256119442637,130.7500575700268,920.9762662915821,116.04493548271884,885.7774690221507,116.31125698862972,946.6778671831241,120.19420621053472,858.537601255711,124.70523904317187,994.7259903183676,208.32807540460942,809.8193024907825,202.28982479075518,1013.2678546294939,259.8442303268556,788.6985274182047,251.08536991301432,943.7747894739007,224.33466815002544,873.0343882483993,219.0082277346257,956.646060197945,508.3707151146809,839.4076182827026,509.75302870167525,975.7327014608595,729.9600419303025,813.8793163545536,736.3800012094824,974.6847018421532,929.7649327307678,811.651653995528,931.5255315575533
902.5293459315168,131.43125059179863,920.9530734295225,116.6052092635848,885.7863013477386,117.1804137270644,946.778121677266,120.44391691630673,858.5952015517182,125.95430844614837,994.7125933883835,208.5633364348122,810.3425911861957,205.40280472744507,1013.0373532961094,259.5593754599582,787.5487980939249,253.1564622181595,943.273322743775,224.7550814415243,874.4411352713706,221.48775253583972,956.2995343799607,508.4861903582265,839.4139174852364,510.07289375619865,976.8067749813216,728.8951752982887,814.1070548352953,735.561681281874,974.757640207192,929.2255237004333,812.1986681472397,931.4602906958743
902.185222520138,136.32694677407113,920.6961390724774,121.04979822449839,885.3062838190575,121.31542237183946,946.744605360002,123.19886363772505,858.230359186221,128.45645716768732,994.8478905209945,210.81290211979044,809.052886438422,207.6062788726571,1012.6772733059265,261.6898797230069,787.8589551927482,254.71448470196592,944.4079760901878,229.37675568247576,873.4364764281387,224.61106185826492,956.1961641163787,509.39852152058194,839.9281796927742,512.3549581993191,979.1072917133713,729.8337773116585,812.8303167243437,737.1520763383927,974.7160447660858,929.1738541888441,812.1337122290246,932.7861069546817
902.2005489201392,136.9675208375355,920.0513995126727,120.94092527855312,885.0980223206614,120.98589107943734,946.5371306291389,124.2435988924614,857.762387393457,128.7384269817529,993.7675124184854,211.35129291105764,809.1716152628635,207.56903778593366,1012.9153494296517,262.5731530927303,787.8428382985372,255.71141978546729,944.8056510306593,230.98915961632025,874.3256154972636,225.9738360591086,956.2057385696417,508.90106021353404,840.4418931443478,512.152423060943,980.5650272443496,730.20067433195,812.1704942910197,736.9300462117687,974.7589526180044,929.2091638428468,812.1021435895045,933.2085337080285
902.0537657793652,143.4300443599531,920.4464546782781,126.51862570545013,884.8523994875472,127.74473809878441,946.8765756414911,129.715605835546,857.8304890946375,133.19568506049043,993.7211432374928,212.43102440697464,808.532294536289,212.12843711160124,1014.9923879204957,267.1739378435282,787.9783746307479,261.95782289080074,948.0100567668333,243.46201285246323,873.0117719698844,242.71526963144257,956.6274734753569,511.62128342424506,840.8146492285919,514.903715191959,985.2952513325527,731.0052432384164,810.9748696706766,733.7223775594363,975.6189974167964,928.8279154765328,810.4399177103578,933.1523618423811
902.4745203918617,143.32475326303825,921.0402816489413,127.10652625043237,885.1537172942279,127.08952703145383,946.919551180058,129.74384987697937,857.8262438522797,133.2038984629307,993.7907541304174,213.87180484472984,808.2497625157552,212.12884836177457,1017.7174342125434,267.55798675423574,787.192288631744,260.5621056482238,948.9073509139915,239.97499386659504,872.618094353239,236.25402940886804,956.7921239250031,511.9564330238534,840.8704124639718,514.7362212093394,986.5716969106851,733.1498344568425,810.8532692257293,729.0837686194355,975.7447512462426,927.3910290890185,809.3864258881854,932.823548275299
903.0935032109826,154.09950595047576,922.0842128327023,135.09450031480083,884.9874158107278,135.45714632303822,948.3922608395674,139.364333009836,858.0068260418411,142.38917704732788,992.8213037050426,218.41454374045708,808.6910175814045,219.93434179763233,1017.2764466374747,271.75743862941715,786.9593752069178,265.3919433489914,944.4257244873652,254.53276973803096,863.7968123007698,258.381045251817,956.7365482566444,518.1775261438581,839.4081886266814,519.9315166938771,991.1540425848627,732.901232813774,809.1146751437723,729.9115514094411,976.1270794996238,927.2399832178705,808.0293661991153,932.7752323613979
